observable,time,time_units,average,stderr,amount_units,expt_id
complex_2,0.0,arbitrary,0.0,5,arbitrary,tutorial
complex_2,2.0,arbitrary,509.39116291025204,47.53876815781655,arbitrary,tutorial
complex_2,4.0,arbitrary,354.39072223321216,41.916913216191766,arbitrary,tutorial
complex_2,6.0,arbitrary,348.6315515878347,34.892408430375966,arbitrary,tutorial
complex_2,8.0,arbitrary,304.1228642734357,28.63320254825145,arbitrary,tutorial
complex_2,10.0,arbitrary,217.6233120123234,23.451004148394095,arbitrary,tutorial
complex_2,12.0,arbitrary,197.1318226194638,19.203312077911686,arbitrary,tutorial
complex_2,14.0,arbitrary,158.95007872686884,15.724322668335455,arbitrary,tutorial
complex_2,16.0,arbitrary,128.8083695478312,12.875311603732962,arbitrary,tutorial
complex_2,18.0,arbitrary,103.58278942826213,10.542348570888343,arbitrary,tutorial
complex_2,20.0,arbitrary,90.05818387771575,8.632028927947731,arbitrary,tutorial
complex_2,22.0,arbitrary,79.18106062164112,7.067820804269717,arbitrary,tutorial
complex_2,24.0,arbitrary,52.28547900622142,5.7870347585815765,arbitrary,tutorial
complex_2,26.0,arbitrary,52.25557766779075,5,arbitrary,tutorial
complex_2,28.0,arbitrary,39.68354046177177,5,arbitrary,tutorial
complex_2,30.0,arbitrary,33.17982046666503,5,arbitrary,tutorial
product_total,0.0,arbitrary,0.0,5,arbitrary,tutorial
product_total,2.0,arbitrary,142.3919802628586,13.28868623981421,arbitrary,tutorial
product_total,4.0,arbitrary,244.15245002961828,28.878061465382803,arbitrary,tutorial
product_total,6.0,arbitrary,428.9933286007086,42.93532919573173,arbitrary,tutorial
product_total,8.0,arbitrary,583.3858042560325,54.92584037357634,arbitrary,tutorial
product_total,10.0,arbitrary,602.0341404737215,64.87496672656391,arbitrary,tutorial
product_total,12.0,arbitrary,749.8579236115391,73.04632773067806,arbitrary,tutorial
product_total,14.0,arbitrary,806.0644961233311,79.74087417919566,arbitrary,tutorial
product_total,16.0,arbitrary,852.5972132606795,85.22314840053377,arbitrary,tutorial
product_total,18.0,arbitrary,881.4596368228362,89.71234308176994,arbitrary,tutorial
product_total,20.0,arbitrary,974.3221875828516,93.38826241240224,arbitrary,tutorial
product_total,22.0,arbitrary,1079.952650518849,96.39820117384457,arbitrary,tutorial
product_total,24.0,arbitrary,893.2188588437813,98.86279482176047,arbitrary,tutorial
product_total,26.0,arbitrary,1112.5415111393738,100.88083622808188,arbitrary,tutorial
product_total,28.0,arbitrary,1048.7744506141362,102.53322656817532,arbitrary,tutorial
product_total,30.0,arbitrary,1085.105795031808,103.88621339932484,arbitrary,tutorial
